country,country_short,region_wb,pop_log,obesity_m,obesity_f,overw_m,overw_f,BMI_m,BMI_f,flex,indiv,yr_sch_m,yr_sch_f,globaliz,uneven_eco_dev,gdppc_ln,undernourish,rice,mcdonalds,temp_avg,wgi_avg,share_animal_prot,vegies_fruits,hf_efiscore,wdi_emp_agr_m,wdi_emp_ind_m,wdi_emp_ser_m,wdi_emp_agr_f,wdi_emp_ind_f,wdi_emp_ser_f,healthexp_perc_gdp,wdi_popurb_share,wdi_smok_m,wdi_smok_f,indiv_welzel,self_expr_val,emancip_val,autonomy,indiv_hofstd,culture_zone,fi_ftradeint,fh_pair,cool_water_ind,hist_path_load,migr_dist_ea,irrig_dep,relig_imp,secular_rational
United Kingdom,GBR,Europe and Central Asia,17.99168421593358,26.2,28.1,68.1,58.4,27.3,27,56.493023828601295,93,12.9,12.7,89,3.7,10.657682794661007,1,7.550000190734863,1.9,8.45,1.5150000000000001,6.808410167694092,171.91000366210937,74.5,1.7000000476837158,29.299999237060547,68.19999694824219,0.6000000238418579,7.400000095367432,91.30000305175781,9.9043521899999991,0.7950800176987687,22,22,56.6,2.04,0.4948605282655494,1.0999999999999996,89,North Europe and Anglo,8.80068588256836,15,0.7877821724367863,NA,0.5245068657604669,0,NA,0.255
Tanzania,TZA,Sub-Saharan Africa,17.756755182580555,3.7,12.1,19,34.6,22.3,24,NA,NA,6.3,5.4,51,7,7.761319180947987,24.4,30.469999313354492,NA,22.35,-0.445,1.847830057144165,129.97000122070312,NA,NA,NA,NA,NA,NA,NA,3.64969921,NA,NA,NA,9.1,NA,0.35865816084537533,NA,NA,Africa,6.128919124603272,8,0.07585122997469182,0.66,0.036462235846928245,0.041175007820129395,NA,NA
United States,USA,North America,19.58613824754317,34.7,36.4,72.3,62.6,28.8,28.8,11.241567790242414,33,13.3,13.4,82,4.8,10.947696452324852,1,10.8100004196167,4.3,8.55,1.2516666666666667,7.580659866333008,207.5800018310547,77.80000305175781,2.299999952316284,25.100000381469727,71.69999694824219,0.800000011920929,7.199999809265137,91.9000015258789,16.71075249,0.8214299569283227,NA,NA,52.6,1.386666667,0.5139749010826973,0.3600000000000003,91,North Europe and Anglo,7.727624893188477,15,0.7198197622668597,-0.64,0.5245,0.19006814062595367,2.0230352303523036,-0.096666667
Uruguay,URY,Latin America and Caribbean,15.042812997668511,24.4,30.1,64.3,60.4,27.2,27.2,NA,NA,8.4,8.9,73,4.2,9.914328575714002,1,14.800000190734863,0.6,17.55,0.8533333333333333,7.08197021484375,135.8400001525879,70,15.600000381469727,28.5,56,4.800000190734863,12.600000381469727,82.5,9.00821114,0.924530142806219,29,21,48,0.905,0.5240729722354059,NA,36,Latin America,8.140716552734375,15,0.5567953706254978,0.53,0.4071,0.013795237056910992,2.715005035246727,-0.3
Uzbekistan,UZB,Europe and Central Asia,17.259093511122856,13.3,18.4,46.6,48.2,26.2,27.2,NA,NA,11.6,11.2,44,7,8.755107121633896,1,10.40999984741211,NA,12.05,-1.1683333333333334,4.2304301261901855,388.95999908447266,45.79999923706055,NA,NA,NA,NA,NA,NA,4.9875989,0.3620399896367252,22,3,17.9,NA,0.30305006246236854,NA,NA,Ottoman-Persian,NA,3,-0.011590785734926652,-0.37,0.3707825093980757,0.6543975472450256,1.97638326585695,NA
Vanuatu,VUT,East Asia and Pacific,12.510346313074875,19.5,29.4,51.5,61.3,25.5,26.7,NA,NA,NA,NA,53,NA,7.990576881743923,8.1,41.77000045776367,NA,23.95,-0.013333333333333341,4.122710227966309,131.32999801635742,NA,NA,NA,NA,NA,NA,NA,4.15773726,NA,NA,NA,NA,NA,NA,NA,NA,Oceania,NA,11,0.23211636967667462,-0.13,NA,NA,NA,NA
Venezuela,VEN,Latin America and Caribbean,17.219431793233348,22,28.3,62.4,63.5,26.6,26.7,-207.3192501038846,-95,9.8,10.4,53,6.7,9.771497828073176,11.3,36.95000076293945,0.42,25.35,-1.4316666666666666,5.795519828796387,140.81999588012695,37.599998474121094,13.100000381469727,29,57.5,1.7999999523162842,11,86.9000015258789,5.79743814,0.9331399300437238,NA,NA,12.4,NA,0.4055585546109338,0.10999999999999988,12,Latin America,3.484303712844849,7,0.2590866027997099,0.8,0.4071,0.017838304862380028,NA,NA
Vietnam,VNM,East Asia and Pacific,18.344631772354333,1.5,2.4,15.1,19.9,21.8,21.7,-1.0836925426626256,-78,8.2,7.8,64,5.5,8.716535732544495,8.1,217.19000244140625,0.018,24.45,-0.4116666666666667,4.524590015411377,229.52999877929687,51.599998474121094,45.29999923706055,25.200000762939453,29.399999618530273,49.5,16.799999237060547,33.70000076293945,5.65262079,0.3039300286511962,46,2,17.9,0.295,0.35037306136425833,NA,20,South Asia,6.285050392150879,8,0.23356803048498764,0.64,0.3191844273795712,0.03186414763331413,NA,-0.44
Yemen,YEM,Middle East and North Africa,17.092575325495147,11.4,21.3,43.2,52.4,23.5,23.9,NA,NA,4.2,1.7,48,8.1,NA,43.4,25.969999313354492,NA,23.85,-1.6166666666666667,2.497529983520508,68.09000015258789,54.20000076293945,24.5,19.100000381469727,56.099998474121094,28,14.600000381469727,57.400001525878906,4.88250208,0.31742000002811577,35,11,7.8,-1.2,0.21597120167097325,-1.5699999999999998,NA,Arab,NA,5,0.10161444213615631,0.23,0.09147725680738401,1,1.060120240480962,-1.39
Zambia,ZMB,Sub-Saharan Africa,16.580531340452207,3.4,12,18.6,35.6,21.3,23.7,NA,NA,7.4,6.4,57,8.6,8.140315540159985,NA,4.539999961853027,NA,21.4,-0.24833333333333335,1.912950038909912,34.75,59.70000076293945,NA,NA,NA,NA,NA,NA,4.43510246,0.38724996661492767,24,4,25.2,-0.87,0.3991533362943025,NA,NA,Africa,7.021407604217529,7,0.04844769643069581,0.52,0.08640443574638863,0.014306639321148396,NA,-0.54
Zimbabwe,ZWE,Sub-Saharan Africa,16.44123960214214,4.5,24.8,21.8,52.2,22.2,25.3,NA,NA,9,7.6,53,8.1,7.893572073504902,NA,2.869999885559082,NA,21,-1.205,2.229379892349243,31.690000534057617,22.100000381469727,NA,NA,NA,NA,NA,NA,7.45206642,0.38130002206931907,25,1,11.4,-1.35,0.32311309248502995,-0.33999999999999986,NA,Africa,4.93117618560791,4,0.0681575561696462,0.53,0.1256741542254445,0.12894819676876068,1.2113333333333334,-0.945
